wallet,amount
0xec4ee55488eda04f6e02cdbbb745f50dd612d937,3
0xc14d121216dd98280f300ca1d75967a7b0488356,1
0x95317e0fb4bd69f83d9fb21972f6ed44833d03c2,1
0xd09b97b82ae83107f2c22314d5ef74409c90ae9b,2
0xc753f3836f59e3b553985b9b662611b85f4d84e2,1
0xecf1ed246315ed133714b84ca9c3a5c6adebf244,2
0xbec0ddf1ce342bc00ad090c79c351941ee1303c6,1
0x1a4b7409e020140443a02ef26858a7e53ac7d652,3
0xca5e480e51deb195b75bdbad6fe13bc2024113d9,1
0x049dc0ad3981790711265c46e41f097095fb5821,2
0x57df4cc0b76c2cccdd1ce7181be25c7c8379f8a1,1
0x317cc83eac41fd29ca87b184c82d7e007bf7b3df,1
0x427b35995a69c6d04cfdfcffe3ebe123c63b29ba,1
0x70a7f9d04d8f0d0c0c574b224e309d7d465f4fcf,2
0x38b52491755e760fae67ff723e8ca1d38935a21e,1
0xb26c452e8ac20ae7445fcf46b6478d3984f5d8e9,2
0xf7536922d2b3d674e4ab0ce83bf0af83f6a10cb7,1
0xd4516c638a97e61aabc4abc8d65411ec19382f03,1
0x38f8c57b9b2f73b62e2b5976ffa4e52baa5f9004,1
0xd822512dbd04053646d5fa21974fad49291f1aea,1
0x34a72a826e2647da80a66bc778e95ad5fbbabeb4,1
0x1f129ab5621ef955e5c4a8b98a584af835e18101,1
0xb79c26fafaafeb2835ff175d025db1b9deeedf5e,1
0x0bf8e891ac0186f42cf4da04eba85fd814bfd0f5,2
0x34d320cda7a1fbe507d0d22e715ad791403b6232,1
0xaee3fcaa91a6e56ba83ce37c79c3253a96705766,1
0x7372bcd5944004606de3b1bbff0140f6cc731998,1
0x2a259f94ede30a0499f1d83ff534026f6717f4f7,2
0x35df71a8c983fe4258cd9ab87eb3e66e183ff4d6,1
0xc6893eeb690596e44f6c8668990a5cd7b8b1cedb,2
0x5812bb91c43b8d24174994d04dc542cf552b494e,1
0x760e7b42c920c2a0feb58ddd610c14a6bdd2ebea,1
0x8ababc6574a0fa22c8989de306bb9e879c63c492,1
0x62ee7bd8463a24c137e8477d9c1aa6d699188e8a,2
0x5a379aacf8bf1e9d4e715d00654846eb1cfc8a76,101
0xf55cbf08ae9424c572598b29064b2fc3f67add04,1
0x0b4b4b0a1a4f1ac969b6302c0f39d8a06328e896,2
0x1725ddb2547bfc9afb52e4e341cf70e2817744cc,3
0xaa95b126f7c6d0fb5ca3cc8cd2782ffa3c52c0c8,1
0xecb1165bae717f58ae71221a687b6c09cc43c504,3
0xa731a3fe719d73716f9016e8949539323f950696,1
0xee7728ad623cf4b0518e48780ae77134d6af1a8f,1
0xd9363e895affa9fbdba4e71846bbbf3c745857c6,2
0x3b15575ba319519f5a3e3258dcb8d82e72f339e4,4
0x7fbee402f25acb1a0357df1d805920bd30157d5c,2
0xa184c07201b6e3c18013fa6b3f9c76a7a61c4fc7,1
0x1ee8657df36c16753359ef1b9ef876e300740cc2,1
0xa208a25bc8405d35da45e68d56b9859d7aaface1,1
0xd6dae639d905a51df0fc59a49927c8fae5590b7a,1
0xf5d4a3b9fb77d1d5600a10e0e1c4efd12f9be751,5
0x4d18f8f2ae19f1e166c97793cceeb70680a2b6d2,2
0xb8ef48e839e0d9c73bc2171618c1430a5aa3f4ce,1
0x64d109081b38c4884708d816baf0dca36e75cb8f,3
0xe5362637b8ee58411c7ff94ce7e49701af5f00d5,1
0x0d41af8beac32ce4898e50ef56e81388a6e7dccf,1
0xc4657c1610466d34a83c2048d52e422f34fb0bde,1
0xb2802e829eb2187bfa618b37771ed6cfe74cb53e,1
0xf14f0836f7d6ef65799d325cc787646f8ad2fa0d,2
0x47a6d63adc8d628675327ca2857345a9f849063b,1
0x8c54d7faf0091900243640006d4f078ff2844739,1
0x17ae58ab79444ad5b8ee2e232caf13c65c32af75,2
0xe74ca58ef724b94fac7f2e09e2e48536a5c1ad03,1
0xe6aa0f8f60f8488e2f259531a48a081cdb8dd766,1
0x5872a5f39a8e3e85233b20845a6947a4111fcd4d,1
0x76cc936e76624149fad83f4391ed4b7ac7b35ee1,2
0x75e36103e790d145fe4ec09270a8248ec0368640,1
0xefd6d1a128414680995bda5345705611b0dce930,5
0x96e3baa591c9cf4d5f44dd44d02a3d4ce9290ac2,3
0xbe9643d7cdfa24986492d6df2dea2acfea3e7b28,2
0xacb818130ac9cd4484848848a0ca3e7dda4bb265,1
0xe71f3a79185a1eeb46848ba8a043a1943709be01,1
0x04764f07542f8870168236da61d31c217c4cbc56,2
0xb2ef634e5bab1d7b2136ed35a91abc1adb118281,1
0x3783c56c35963d83742d1fe3eab546f61d0eb9c7,2
0x0ef2be3b9247123ae3d6eb00532f898a848d97f7,3
0x3c79a6a9c188753a532cf38d5f951beebbaed5ae,1
0x47d0e753e6fc83f0bfa8967f4c1a9272d5a76aa4,1
0x8fe8686b254e6685d38eabdc88235d74bf0cbead,1
0x3bc6e3636d707e39ded875d823f0c8621e85e360,1
0xade962ea9c248c0b4b3db6007aadefd9801bc5cf,3
0x089ad55045fe72f1f77eaac7e166de9e277600a5,2
0x370299e05aed394a4f396185c99d7659964c138f,2
0xf29403e642b0569a5500741ee11886952a7574c9,3
0xb9f7f66304750d690fa8f1118f404247f52f99fa,1
0xdc5fca0a692b7c9fb759266985b49b63199df087,1
0x2624e6bdce94156695330a43617de537518052f0,7
0xe042ff17d4c3924ab6d53993699dbac1dd2f80ea,1
0x90319bedc6c41014f37abb41a01473287fa953bc,1
0x5e853abaa9005a7fa09b699ea5741b02bf15fbd5,1
0x14c8be3d72b200c037cd442286213060e4f8cb24,1
0x00b7e4266cde6cfa0ed1f966657a7af37a9218ed,1
0x07f6573657710dfd9fea074d343b6d7302aa3800,1
0xd27bcc7ba02a2aebc033ea01ce7d4e642494318f,1
0x0b1ba2820c03fce9f0745bddc25dd76f9b581120,1
0x68a9113c5638a7868a3e926776ada7842683cbf5,1
0x37145f730aa36ee38230c49830238beb3f4b3d32,1
0x2bd6cccfc27ee1c77d94623c818f9611359088cf,1
0x153002a1aa045a92317cb58893a5e2907ee3f421,1
0x85bb21414e7e87856c4f4e074f5122839acf19e5,5
0x416968f5a761a149c8158b8d782cfb0f9dab5afa,1
0x33e36e668ec7d5a0357c88362b20c0c4d373ff55,1
0x5e59ac40c4d661e55a97c317a5002bf6d9e7109c,3
0x39017cc92da84c5bc14ce5526cd02ba5923f2be4,1
0xb54e8121c968348d649a3b1a1d204ffb4cc8a9cb,1
